# version=2022
# observatory
! mpcCode 807
! name Cerro Tololo Inter-American Observatory
# submitter
! name R. Holmes
# telescope
! aperture 0.61
! design Ritchey-Chretien
! detector CCD
# observers
! name T. Linder
! name R. Holmes
# measurers
! name T. Linder
! name R. Holmes
trkSub  |mode|stn |obsTime                 |ra           |dec          |rmsRA  |rmsDec |astCat  |mag    |band
47097   |CCD |807 |2024-01-20T00:51:38.30Z |54.762917    |21.244       |0.52   |0.52   |Gaia2   |18.5   |G   
47097   |CCD |807 |2024-01-20T00:54:54.43Z |54.770792    |21.24775     |0.0    |0.0    |Gaia2   |19.3   |G   
47097   |CCD |807 |2024-01-20T00:58:33.2Z  |54.779375    |21.251722    |0.0    |0.0    |Gaia2   |19.9   |G   
47097   |CCD |807 |2024-01-25T03:50:55.10Z |97.916167    |25.845722    |0.13   |0.13   |Gaia2   |17.6   |G   
47097   |CCD |807 |2024-01-25T03:52:31.1Z  |97.92225     |25.845028    |0.2    |0.2    |Gaia2   |17.6   |G   
47097   |CCD |807 |2024-01-25T03:54:06.5Z  |97.928417    |25.844139    |0.11   |0.11   |Gaia2   |17.5   |G   
47097   |CCD |807 |2024-01-25T03:55:41.95Z |97.934625    |25.843278    |0.17   |0.17   |Gaia2   |17.4   |G   
47097   |CCD |807 |2024-01-25T03:57:17.86Z |97.94075     |25.842444    |0.18   |0.18   |Gaia2   |17.5   |G   
47097   |CCD |807 |2024-01-25T03:58:52.90Z |97.946875    |25.841611    |0.16   |0.16   |Gaia2   |17.6   |G   
47097   |CCD |807 |2024-01-25T04:00:28.80Z |97.953083    |25.84075     |0.14   |0.14   |Gaia2   |17.2   |G   
47097   |CCD |807 |2024-01-25T04:02:04.70Z |97.959292    |25.839833    |0.13   |0.13   |Gaia2   |17.5   |G   
47097   |CCD |807 |2024-02-02T06:27:01.73Z |219.898917   |-15.000278   |0.35   |0.35   |Gaia2   |18.6   |G   
47097   |CCD |807 |2024-02-02T06:28:21.22Z |219.91125    |-15.006917   |0.36   |0.36   |Gaia2   |18.2   |G   
47097   |CCD |807 |2024-02-02T06:29:39.84Z |219.923625   |-15.013861   |0.33   |0.33   |Gaia2   |18.4   |G   
47097   |CCD |807 |2024-02-02T06:30:58.46Z |219.935833   |-15.020611   |0.34   |0.34   |Gaia2   |18.4   |G   
47097   |CCD |807 |2024-02-02T06:32:17.95Z |219.948208   |-15.027389   |0.31   |0.31   |Gaia2   |18.2   |G   
47097   |CCD |807 |2024-02-02T06:33:36.57Z |219.960417   |-15.034139   |0.24   |0.24   |Gaia2   |18.5   |G   
